cpn60 UT subgroups,I-IA,I-IB,I-IC,I-IE,I-IF,I-IIA,I-IIB,I-IIIB,I-IP,I-IVB,I-VB,I-VIB,II-IA,IX-IB,IX-IH,V-IA,VII-IA,X-IA,X-IC,X-IF,XII-IA,XII-IB,XIII-IA,XIV-IA,XIV-IC
I-IA,1.00,0.88,0.74,0.79,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.85,0.04,0.18,0.28,0.15,0.21,0.14,0.20,0.24,0.13,0.13,0.23,0.00,0.00
I-IB,0.88,1.00,0.75,0.76,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.94,0.04,0.17,0.27,0.15,0.20,0.14,0.19,0.23,0.13,0.12,0.22,0.00,0.00
I-IC,0.74,0.75,1.00,0.79,0.81,0.72,0.64,0.67,0.71,0.79,0.72,0.72,0.09,0.13,0.23,0.12,0.17,0.24,0.34,0.33,0.13,0.13,0.27,0.04,0.04
I-IE,0.79,0.76,0.79,1.00,0.82,0.61,0.61,0.64,0.85,0.76,0.82,0.82,0.08,0.13,0.22,0.11,0.20,0.23,0.28,0.32,0.13,0.12,0.26,0.04,0.04
I-IF,0.81,0.82,0.81,0.82,1.00,0.67,0.75,0.82,0.74,0.94,0.75,0.75,0.08,0.09,0.18,0.11,0.17,0.23,0.29,0.33,0.13,0.13,0.26,0.04,0.04
I-IIA,0.68,0.69,0.72,0.61,0.67,1.00,0.62,0.61,0.52,0.61,0.67,0.67,0.04,0.09,0.18,0.19,0.25,0.14,0.14,0.19,0.09,0.09,0.19,0.00,0.00
I-IIB,0.72,0.86,0.64,0.61,0.75,0.62,1.00,0.94,0.52,0.82,0.79,0.79,0.04,0.13,0.23,0.19,0.21,0.14,0.19,0.23,0.13,0.13,0.23,0.00,0.00
I-IIIB,0.75,0.88,0.67,0.64,0.82,0.61,0.94,1.00,0.55,0.88,0.82,0.82,0.04,0.13,0.22,0.19,0.20,0.14,0.19,0.23,0.13,0.12,0.22,0.00,0.00
I-IP,0.71,0.68,0.71,0.85,0.74,0.52,0.52,0.55,1.00,0.68,0.74,0.74,0.09,0.14,0.29,0.12,0.22,0.29,0.30,0.39,0.14,0.13,0.27,0.04,0.04
I-IVB,0.75,0.76,0.79,0.76,0.94,0.61,0.82,0.88,0.68,1.00,0.69,0.69,0.08,0.09,0.18,0.15,0.16,0.23,0.28,0.32,0.13,0.12,0.26,0.04,0.04
I-VB,0.85,0.94,0.72,0.82,0.75,0.67,0.79,0.82,0.74,0.69,1.00,1.00,0.04,0.17,0.27,0.15,0.21,0.14,0.19,0.23,0.13,0.13,0.23,0.00,0.00
I-VIB,0.85,0.94,0.72,0.82,0.75,0.67,0.79,0.82,0.74,0.69,1.00,1.00,0.04,0.17,0.27,0.15,0.21,0.14,0.19,0.23,0.13,0.13,0.23,0.00,0.00
II-IA,0.04,0.04,0.09,0.08,0.08,0.04,0.04,0.04,0.09,0.08,0.04,0.04,1.00,0.09,0.09,0.11,0.08,0.14,0.14,0.14,0.09,0.09,0.08,0.17,0.17
IX-IB,0.18,0.17,0.13,0.13,0.09,0.09,0.13,0.13,0.14,0.09,0.17,0.17,0.09,1.00,0.48,0.12,0.13,0.10,0.20,0.15,0.18,0.22,0.08,0.04,0.00
IX-IH,0.28,0.27,0.23,0.22,0.18,0.18,0.23,0.22,0.29,0.18,0.27,0.27,0.09,0.48,1.00,0.29,0.36,0.26,0.26,0.31,0.19,0.19,0.24,0.05,0.05
V-IA,0.15,0.15,0.12,0.11,0.11,0.19,0.19,0.19,0.12,0.15,0.15,0.15,0.11,0.12,0.29,1.00,0.42,0.25,0.21,0.29,0.20,0.19,0.21,0.19,0.15
VII-IA,0.21,0.20,0.17,0.20,0.17,0.25,0.21,0.20,0.22,0.16,0.21,0.21,0.08,0.13,0.36,0.42,1.00,0.23,0.24,0.33,0.09,0.13,0.19,0.17,0.17
X-IA,0.14,0.14,0.24,0.23,0.23,0.14,0.14,0.14,0.29,0.23,0.14,0.14,0.14,0.10,0.26,0.25,0.23,1.00,0.65,0.74,0.15,0.14,0.29,0.19,0.14
X-IC,0.20,0.19,0.34,0.28,0.29,0.14,0.19,0.19,0.30,0.28,0.19,0.19,0.14,0.20,0.26,0.21,0.24,0.65,1.00,0.65,0.15,0.15,0.26,0.15,0.15
X-IF,0.24,0.23,0.33,0.32,0.33,0.19,0.23,0.23,0.39,0.32,0.23,0.23,0.14,0.15,0.31,0.29,0.33,0.74,0.65,1.00,0.20,0.19,0.38,0.19,0.14
XII-IA,0.13,0.13,0.13,0.13,0.13,0.09,0.13,0.13,0.14,0.13,0.13,0.13,0.09,0.18,0.19,0.20,0.09,0.15,0.15,0.20,1.00,0.93,0.31,0.09,0.00
XII-IB,0.13,0.12,0.13,0.12,0.13,0.09,0.13,0.12,0.13,0.12,0.13,0.13,0.09,0.22,0.19,0.19,0.13,0.14,0.15,0.19,0.93,1.00,0.27,0.09,0.00
XIII-IA,0.23,0.22,0.27,0.26,0.26,0.19,0.23,0.22,0.27,0.26,0.23,0.23,0.08,0.08,0.24,0.21,0.19,0.29,0.26,0.38,0.31,0.27,1.00,0.15,0.08
XIV-IA,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.17,0.04,0.05,0.19,0.17,0.19,0.15,0.19,0.09,0.09,0.15,1.00,0.87
XIV-IC,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.17,0.00,0.05,0.15,0.17,0.14,0.15,0.14,0.00,0.00,0.08,0.87,1.00
